Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Percent of the population who cannot afford a healthy diet [CoHD_headcount]
Food Prices for Nutrition 2.1,FPN 2.1,Kazakhstan,KAZ,2021,YR2021,2.6
Food Prices for Nutrition 2.1,FPN 2.1,Kenya,KEN,2021,YR2021,86.5
Food Prices for Nutrition 2.1,FPN 2.1,South Korea,KOR,2021,YR2021,2
Food Prices for Nutrition 2.1,FPN 2.1,Kuwait,KWT,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Kyrgyz Republic,KGZ,2021,YR2021,56.9
Food Prices for Nutrition 2.1,FPN 2.1,Lao PDR,LAO,2021,YR2021,74.1
Food Prices for Nutrition 2.1,FPN 2.1,Latin America & Caribbean,LCN,2021,YR2021,22.6
Food Prices for Nutrition 2.1,FPN 2.1,Latvia,LVA,2021,YR2021,1.5
Food Prices for Nutrition 2.1,FPN 2.1,Lesotho,LSO,2021,YR2021,88.8
Food Prices for Nutrition 2.1,FPN 2.1,Liberia,LBR,2021,YR2021,92.8
Food Prices for Nutrition 2.1,FPN 2.1,Lithuania,LTU,2021,YR2021,0.7
Food Prices for Nutrition 2.1,FPN 2.1,Low income,LIC,2021,YR2021,86.4
Food Prices for Nutrition 2.1,FPN 2.1,Lower middle income,LMC,2021,YR2021,69.6
Food Prices for Nutrition 2.1,FPN 2.1,Luxembourg,LUX,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,Madagascar,MDG,2021,YR2021,97.8
Food Prices for Nutrition 2.1,FPN 2.1,Malawi,MWI,2021,YR2021,95.9
Food Prices for Nutrition 2.1,FPN 2.1,Malaysia,MYS,2021,YR2021,2.5
Food Prices for Nutrition 2.1,FPN 2.1,Maldives,MDV,2021,YR2021,2.8
Food Prices for Nutrition 2.1,FPN 2.1,Mali,MLI,2021,YR2021,71.4
Food Prices for Nutrition 2.1,FPN 2.1,Malta,MLT,2021,YR2021,0.8
Food Prices for Nutrition 2.1,FPN 2.1,Mauritania,MRT,2021,YR2021,62.4
Food Prices for Nutrition 2.1,FPN 2.1,Mauritius,MUS,2021,YR2021,14.5
Food Prices for Nutrition 2.1,FPN 2.1,Mexico,MEX,2021,YR2021,20.2
Food Prices for Nutrition 2.1,FPN 2.1,Middle East & North Africa,MEA,2021,YR2021,34.1
Food Prices for Nutrition 2.1,FPN 2.1,Moldova,MDA,2021,YR2021,3.7
Food Prices for Nutrition 2.1,FPN 2.1,Mongolia,MNG,2021,YR2021,61.1
Food Prices for Nutrition 2.1,FPN 2.1,Montenegro,MNE,2021,YR2021,13.7
Food Prices for Nutrition 2.1,FPN 2.1,Montserrat,MSR,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Morocco,MAR,2021,YR2021,19.5
Food Prices for Nutrition 2.1,FPN 2.1,Mozambique,MOZ,2021,YR2021,94.8
Food Prices for Nutrition 2.1,FPN 2.1,Myanmar,MMR,2021,YR2021,74.3
Food Prices for Nutrition 2.1,FPN 2.1,Namibia,NAM,2021,YR2021,59.4
Food Prices for Nutrition 2.1,FPN 2.1,Nepal,NPL,2021,YR2021,71.4
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2021,YR2021,0.1
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2021,YR2021,34
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2021,YR2021,92
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2021,YR2021,93.6
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2021,YR2021,1
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2021,YR2021,15.9
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2021,YR2021,0.3
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2021,YR2021,80.1
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2021,YR2021,17
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2021,YR2021,20.4
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2021,YR2021,25.6
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2021,YR2021,74.1
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2021,YR2021,4
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2021,YR2021,1.2
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2021,YR2021,..
